,Mass_Ratios,HI_Ratios,OVI_Ratios,Mass_Density,HI_Density,OVI_Density,MVir,pos,mean vr,Mvir/Mtotal
local,"[0.99801864 0.99736128 0.99818354 0.99898607 0.99814246 0.99811953
 0.99761133 0.99725846 0.99763776 0.99682313 0.99429983 0.98829346
 0.99150344 0.9937632  0.99674247 0.99465174 0.99104506 0.97982112
 0.98754571 0.98878555 0.99217891 0.9949297  0.99339842 0.99042372
 0.99003139 0.98470064 0.98310092 0.98165573 0.97840691 0.98304836
 0.97633611 0.96607814 0.93507885 0.86773965 0.73171881 0.83721677
 0.92643839 0.95777704 0.97436512 0.97296854 0.97539391 0.97754569
 0.97504183 0.9785405  0.97850544 0.98108376 0.9816722  0.98210555
 0.98450274 0.98447301 0.98332573 0.98389312 0.98579489 0.9849837
 0.9833545  0.98529727 0.98454079 0.98404253 0.98596779 0.9863964
 0.98724778 0.98681314 0.98600429 0.98908936 0.98765289 0.99097874
 0.98953354 0.99053225 0.99106347 0.9909185  0.99282183 0.9911906
 0.99251468 0.99194625 0.99261983 0.99421546 0.99320325 0.99359034
 0.99287414 0.99391864 0.9941981  0.99368194 0.99387905 0.99445084
 0.99427511 0.99464272 0.99425104 0.99445878 0.99494506 0.99424964
 0.99719712 0.99626213 0.99654661 0.99654441 0.99697156 0.99777091
 0.99827028 0.99727667 0.99804977 0.99784583]","[0.99801473 0.99713161 0.9982612  0.9989043  0.99837402 0.99966532
 0.99126152 0.99499486 0.98545909 0.96535566 0.88950623 0.80457981
 0.8594356  0.98064404 0.98889502 0.89258486 0.89598746 0.4905829
 0.73352055 0.86622326 0.91456152 0.98458744 0.96968739 0.83136764
 0.82187382 0.6359205  0.55652435 0.70117669 0.3631378  0.36702027
 0.23195295 0.1737058  0.02920897 0.00730029 0.00127205 0.00429951
 0.02149705 0.09806683 0.39643695 0.26161251 0.27718423 0.33928886
 0.20008051 0.35383021 0.53158006 0.70745205 0.80306909 0.71600311
 0.76025296 0.86746824 0.86032703 0.91246448 0.96922173 0.96196985
 0.96794212 0.93562662 0.95152445 0.96642118 0.95230083 0.9516547
 0.9413594  0.90262932 0.95653728 0.94189038 0.96210527 0.95403306
 0.93399543 0.88283974 0.92461056 0.87714993 0.9372205  0.9308564
 0.91696774 0.89605208 0.88891744 0.9164967  0.91202647 0.92356221
 0.9028009  0.90332421 0.90498932 0.92597241 0.92293021 0.94672883
 0.93017271 0.93988173 0.92213931 0.9403145  0.94060972 0.94525093
 0.96061395 0.98226168 0.97410452 0.97630188 0.9776628  0.99492343
 0.99413006 0.99144614 0.99722849 0.99601661]","[0.99940542 0.99663618 0.99827351 0.99989538 0.99952295 0.99767902
 0.99956224 0.9987233  0.99731856 0.99877406 0.99912144 0.99240433
 0.99672149 0.99620917 0.99780882 0.99762892 0.99690955 0.99742286
 0.99680553 0.99685863 0.99301409 0.99280359 0.99173581 0.99413268
 0.99547435 0.99384525 0.99275823 0.99261953 0.99238887 0.99187335
 0.98552122 0.99246133 0.98689735 0.99096697 0.97616693 0.98499603
 0.98198073 0.98863722 0.99034813 0.99116851 0.99217098 0.99496
 0.9940912  0.99355495 0.99465534 0.99680604 0.99392441 0.99528319
 0.99693338 0.99542282 0.99532206 0.99312283 0.99661927 0.99399589
 0.9937283  0.99609575 0.99298814 0.99601289 0.99592558 0.99670028
 0.99595315 0.99599024 0.99507004 0.99544848 0.99592406 0.99575497
 0.99612613 0.99582824 0.99602856 0.99684081 0.99640337 0.9957681
 0.99510716 0.99496233 0.99356752 0.99611149 0.99448597 0.99499843
 0.9939134  0.99480378 0.9952792  0.99409103 0.99408927 0.99409088
 0.99503982 0.99372591 0.99316255 0.99407111 0.99366664 0.99275145
 0.99623868 0.99489793 0.99422745 0.99456521 0.99604427 0.99646841
 0.99804336 0.9963511  0.99703316 0.99615057]","[2.98030696e+07 2.41066850e+06 3.77951358e+05 1.70924705e+05
 1.06421349e+05 7.59557261e+04 5.97217114e+04 4.63695606e+04
 3.58694957e+04 2.98084120e+04 2.45736137e+04 2.02621060e+04
 1.72587118e+04 1.53562530e+04 1.38874897e+04 1.20847718e+04
 1.08888711e+04 9.99172669e+03 9.01967231e+03 8.04346699e+03
 7.37724459e+03 6.74080702e+03 6.33573000e+03 5.82274910e+03
 5.47598823e+03 5.09633814e+03 4.77138903e+03 4.47203551e+03
 4.12736518e+03 3.92613160e+03 3.58893762e+03 3.37274798e+03
 3.15768353e+03 2.95733871e+03 2.76504463e+03 2.61809790e+03
 2.47553495e+03 2.35705903e+03 2.24495088e+03 2.15300650e+03
 2.05142406e+03 1.97123774e+03 1.86106285e+03 1.77618374e+03
 1.69939405e+03 1.64127738e+03 1.56042348e+03 1.47160996e+03
 1.41397113e+03 1.36961588e+03 1.29404116e+03 1.27887547e+03
 1.21930953e+03 1.17819425e+03 1.15424303e+03 1.09928970e+03
 1.04998658e+03 1.02335114e+03 9.76026696e+02 9.44109609e+02
 8.98689013e+02 8.76410601e+02 8.25042563e+02 8.00534068e+02
 7.78353000e+02 7.43274986e+02 7.19380620e+02 6.96362990e+02
 6.65794669e+02 6.53211551e+02 6.30435606e+02 6.04624418e+02
 5.92620356e+02 5.69878380e+02 5.50004511e+02 5.28498083e+02
 5.13676098e+02 4.97385396e+02 4.76030154e+02 4.63054775e+02
 4.46125724e+02 4.32877382e+02 4.17292428e+02 4.01227199e+02
 3.90126891e+02 3.73952965e+02 3.58232164e+02 3.46076278e+02
 3.38453116e+02 3.21793150e+02 3.12251289e+02 3.04611390e+02
 2.89653169e+02 2.82255151e+02 2.72656743e+02 2.61943121e+02
 2.52196898e+02 2.46303513e+02 2.32699122e+02 2.31423872e+02]","[1.00955121e+07 7.80914960e+05 5.24988835e+04 9.50076317e+03
 2.34146430e+03 9.15377392e+02 5.60950717e+02 3.77807541e+02
 1.55100253e+02 1.75007405e+02 1.13601494e+02 4.68850080e+01
 3.37184692e+01 4.00053558e+01 4.15296512e+01 1.66051558e+01
 1.35035199e+01 1.41595929e+01 8.72438748e+00 6.65707363e+00
 3.78070370e+00 3.63997509e+00 5.14610888e+00 3.19487676e+00
 3.46898762e+00 2.90037952e+00 1.85542499e+00 2.21197382e+00
 8.51575562e-01 1.68650917e+00 9.07422342e-01 1.07698698e+00
 8.17170425e-01 7.22957293e-01 4.98391249e-01 5.59036596e-01
 4.05479375e-01 3.98651781e-01 4.99308660e-01 4.32903701e-01
 2.80441594e-01 2.73682095e-01 1.17178925e-01 1.25675650e-01
 1.63583520e-01 2.25301626e-01 1.60025708e-01 7.93091691e-02
 5.86350804e-02 3.98743617e-02 2.64533594e-02 5.30420017e-02
 6.05496427e-02 4.65644746e-02 5.48451146e-02 2.44725049e-02
 3.70317384e-02 4.61985990e-02 2.63983085e-02 2.91773047e-02
 1.91819220e-02 1.54271939e-02 2.45632697e-02 1.32923357e-02
 2.33511790e-02 1.56630612e-02 1.07858201e-02 5.84151622e-03
 7.11560051e-03 4.71867968e-03 7.30356201e-03 6.63482037e-03
 4.96278779e-03 3.68529742e-03 2.49218489e-03 2.82375628e-03
 2.63744843e-03 2.62591543e-03 2.03255174e-03 1.72911143e-03
 1.56000050e-03 1.56703342e-03 1.72543814e-03 1.82449114e-03
 1.43528431e-03 1.29782707e-03 1.17416959e-03 1.10881922e-03
 1.02282509e-03 1.00169122e-03 1.01263149e-03 2.00123386e-03
 9.68171311e-04 1.08745696e-03 1.01118850e-03 1.04289735e-03
 1.05794746e-03 9.73539938e-04 9.84359051e-04 1.13929575e-03]","[3.29879599e+03 6.29914152e+01 4.22646294e+00 1.86676599e+00
 1.01321384e+00 8.46592507e-01 6.07369615e-01 5.27338361e-01
 3.89077455e-01 3.06533514e-01 2.31368995e-01 2.03165695e-01
 1.69353949e-01 1.43447423e-01 1.22682995e-01 9.66982697e-02
 8.33168994e-02 7.74098865e-02 8.46509712e-02 7.66039365e-02
 6.67436436e-02 6.21502879e-02 6.11024863e-02 5.63708687e-02
 5.24179482e-02 4.63322781e-02 4.53797495e-02 4.84047632e-02
 4.56017895e-02 4.46445266e-02 4.64509555e-02 4.32761654e-02
 4.31759973e-02 3.81422322e-02 3.61963481e-02 3.52689968e-02
 3.45089887e-02 3.23294531e-02 3.27214342e-02 3.31183704e-02
 3.22375213e-02 3.45950789e-02 3.31249686e-02 3.37326611e-02
 3.33666425e-02 3.27960172e-02 3.30312879e-02 3.23187533e-02
 3.31174029e-02 3.30828276e-02 3.22710776e-02 3.29845520e-02
 3.22558373e-02 3.26948729e-02 3.28648304e-02 3.19134909e-02
 3.10157160e-02 3.10334670e-02 3.04600146e-02 2.98887704e-02
 2.95679962e-02 2.88349976e-02 2.84943489e-02 2.75868967e-02
 2.71812332e-02 2.63216707e-02 2.59170782e-02 2.51919834e-02
 2.56107440e-02 2.50819715e-02 2.46500914e-02 2.45556651e-02
 2.40020516e-02 2.34428421e-02 2.27180110e-02 2.22485020e-02
 2.22451691e-02 2.08299844e-02 2.10008077e-02 1.99080146e-02
 1.99143768e-02 1.89971530e-02 1.91080721e-02 1.82670469e-02
 1.73783591e-02 1.73227848e-02 1.65518642e-02 1.58567932e-02
 1.55292350e-02 1.46296867e-02 1.43188122e-02 1.36599327e-02
 1.28925847e-02 1.29557975e-02 1.22087341e-02 1.18067463e-02
 1.14392106e-02 1.08004159e-02 1.00125256e-02 1.05550570e-02]",,,,
Dwarf Sattelites,"[0.00198136 0.00263872 0.00181646 0.00101393 0.00185754 0.00188047
 0.00238867 0.00274154 0.00236224 0.00317687 0.00570017 0.01170654
 0.00849656 0.0062368  0.00325753 0.00534826 0.00895494 0.02017888
 0.01245429 0.01121445 0.00782109 0.0050703  0.00660158 0.00957628
 0.00996861 0.01529936 0.01689908 0.01834427 0.02159309 0.01695164
 0.02366389 0.03392186 0.06492115 0.13226035 0.26828119 0.16278323
 0.07356161 0.04222296 0.02563488 0.02703146 0.02460609 0.02245431
 0.02495817 0.0214595  0.02149456 0.01891624 0.0183278  0.01789445
 0.01549726 0.01552699 0.01667427 0.01610688 0.01420511 0.0150163
 0.0166455  0.01470273 0.01545921 0.01595747 0.01403221 0.0136036
 0.01275222 0.01318686 0.01399571 0.01091064 0.01234711 0.00902126
 0.01046646 0.00946775 0.00893653 0.0090815  0.00717817 0.0088094
 0.00748532 0.00805375 0.00738017 0.00578454 0.00679675 0.00640966
 0.00712586 0.00608136 0.0058019  0.00631806 0.00612095 0.00554916
 0.00572489 0.00535728 0.00574896 0.00554122 0.00505494 0.00575036
 0.00280288 0.00373787 0.00345339 0.00345559 0.00302844 0.00222909
 0.00172972 0.00272333 0.00195023 0.00215417]","[1.98526818e-03 2.86839009e-03 1.73879671e-03 1.09569654e-03
 1.62598485e-03 3.34681785e-04 8.73847828e-03 5.00514370e-03
 1.45409072e-02 3.46443395e-02 1.10493774e-01 1.95420189e-01
 1.40564399e-01 1.93559567e-02 1.11049781e-02 1.07415141e-01
 1.04012543e-01 5.09417097e-01 2.66479452e-01 1.33776740e-01
 8.54384823e-02 1.54125602e-02 3.03126085e-02 1.68632359e-01
 1.78126175e-01 3.64079500e-01 4.43475648e-01 2.98823313e-01
 6.36862199e-01 6.32979729e-01 7.68047051e-01 8.26294196e-01
 9.70791030e-01 9.92699712e-01 9.98727953e-01 9.95700495e-01
 9.78502952e-01 9.01933172e-01 6.03563050e-01 7.38387494e-01
 7.22815774e-01 6.60711136e-01 7.99919495e-01 6.46169789e-01
 4.68419936e-01 2.92547946e-01 1.96930909e-01 2.83996892e-01
 2.39747038e-01 1.32531760e-01 1.39672969e-01 8.75355172e-02
 3.07782657e-02 3.80301455e-02 3.20578755e-02 6.43733836e-02
 4.84755456e-02 3.35788152e-02 4.76991747e-02 4.83453004e-02
 5.86406005e-02 9.73706841e-02 4.34627212e-02 5.81096216e-02
 3.78947264e-02 4.59669426e-02 6.60045699e-02 1.17160262e-01
 7.53894377e-02 1.22850070e-01 6.27794969e-02 6.91435968e-02
 8.30322576e-02 1.03947919e-01 1.11082557e-01 8.35033027e-02
 8.79735257e-02 7.64377856e-02 9.71991016e-02 9.66757879e-02
 9.50106751e-02 7.40275861e-02 7.70697936e-02 5.32711735e-02
 6.98272934e-02 6.01182739e-02 7.78606937e-02 5.96854984e-02
 5.93902763e-02 5.47490710e-02 3.93860528e-02 1.77383190e-02
 2.58954776e-02 2.36981221e-02 2.23371950e-02 5.07657463e-03
 5.86994311e-03 8.55386475e-03 2.77151372e-03 3.98338836e-03]","[0.00059458 0.00336382 0.00172649 0.00010462 0.00047705 0.00232098
 0.00043776 0.0012767  0.00268144 0.00122594 0.00087856 0.00759567
 0.00327851 0.00379083 0.00219118 0.00237108 0.00309045 0.00257714
 0.00319447 0.00314137 0.00698591 0.00719641 0.00826419 0.00586732
 0.00452565 0.00615475 0.00724177 0.00738047 0.00761113 0.00812665
 0.01447878 0.00753867 0.01310265 0.00903303 0.02383307 0.01500397
 0.01801927 0.01136278 0.00965187 0.00883149 0.00782902 0.00504
 0.0059088  0.00644505 0.00534466 0.00319396 0.00607559 0.00471681
 0.00306662 0.00457718 0.00467794 0.00687717 0.00338073 0.00600411
 0.0062717  0.00390425 0.00701186 0.00398711 0.00407442 0.00329972
 0.00404685 0.00400976 0.00492996 0.00455152 0.00407594 0.00424503
 0.00387387 0.00417176 0.00397144 0.00315919 0.00359663 0.0042319
 0.00489284 0.00503767 0.00643248 0.00388851 0.00551403 0.00500157
 0.0060866  0.00519622 0.0047208  0.00590897 0.00591073 0.00590912
 0.00496018 0.00627409 0.00683745 0.00592889 0.00633336 0.00724855
 0.00376132 0.00510207 0.00577255 0.00543479 0.00395573 0.00353159
 0.00195664 0.0036489  0.00296684 0.00384943]","[5.91677099e+04 6.37791142e+03 6.87782168e+02 1.73482249e+02
 1.98049755e+02 1.43101706e+02 1.42997240e+02 1.27473448e+02
 8.49330176e+01 9.49991275e+01 1.40876856e+02 2.40008785e+02
 1.47896206e+02 9.63749223e+01 4.53867522e+01 6.49800071e+01
 9.83902970e+01 2.05774182e+02 1.13750306e+02 9.12260978e+01
 5.81528821e+01 3.43520941e+01 4.21037842e+01 5.62994364e+01
 5.51376231e+01 7.91821584e+01 8.20181303e+01 8.35692272e+01
 9.10894915e+01 6.77020367e+01 8.69866817e+01 1.18427160e+02
 2.19233316e+02 4.50755778e+02 1.01379036e+03 5.09046688e+02
 1.96563906e+02 1.03909368e+02 5.90631219e+01 5.98158131e+01
 5.17509082e+01 4.52795061e+01 4.76376809e+01 3.89518994e+01
 3.73301261e+01 3.16454032e+01 2.91330781e+01 2.68134567e+01
 2.22576175e+01 2.16014220e+01 2.19430756e+01 2.09359113e+01
 1.75700145e+01 1.79618328e+01 1.95381797e+01 1.64037376e+01
 1.64868318e+01 1.65949036e+01 1.38907301e+01 1.30204174e+01
 1.16083104e+01 1.17115385e+01 1.17109555e+01 8.83068653e+00
 9.73055679e+00 6.76631699e+00 7.60900434e+00 6.65600602e+00
 6.00354208e+00 5.98650754e+00 4.55809078e+00 5.37371955e+00
 4.46940707e+00 4.62692100e+00 4.08930502e+00 3.07490390e+00
 3.51522173e+00 3.20863659e+00 3.41647081e+00 2.83323118e+00
 2.60347988e+00 2.75233457e+00 2.56995655e+00 2.23889739e+00
 2.24629354e+00 2.01416275e+00 2.07136891e+00 1.92836947e+00
 1.71955317e+00 1.86112887e+00 8.77662290e-01 1.14287009e+00
 1.00375102e+00 9.78740283e-01 8.28233386e-01 5.85200505e-01
 4.36986145e-01 6.72598123e-01 4.54702444e-01 4.99602100e-01]","[2.00821674e+04 2.24641232e+03 9.14438882e+01 1.04213720e+01
 3.81338597e+00 3.06462707e-01 4.94506803e+00 1.90049327e+00
 2.28857636e+00 6.28060332e+00 1.41114896e+01 1.13876548e+01
 5.51480106e+00 7.89625902e-01 4.66364838e-01 1.99829197e+00
 1.56758382e+00 1.47032004e+01 3.16946813e+00 1.02809709e+00
 3.53193940e-01 5.69795357e-02 1.60868322e-01 6.48040144e-01
 7.51839855e-01 1.66053575e+00 1.47852614e+00 9.42685857e-01
 1.49347240e+00 2.90862986e+00 3.00467425e+00 5.12307633e+00
 2.71595242e+01 9.83083872e+01 3.91304250e+02 1.29464439e+02
 1.84566165e+01 3.66645147e+00 7.60182060e-01 1.22184785e+00
 7.31310040e-01 5.32952381e-01 4.68479957e-01 2.29510668e-01
 1.44147207e-01 9.31674838e-02 3.92419639e-02 3.14573461e-02
 1.84906703e-02 6.09200324e-03 4.29466832e-03 5.08848195e-03
 1.92279323e-03 1.84086199e-03 1.81644936e-03 1.68376778e-03
 1.88658706e-03 1.60519476e-03 1.32224765e-03 1.48224515e-03
 1.19490964e-03 1.66420079e-03 1.11609507e-03 8.20066345e-04
 9.19739829e-04 7.54673048e-04 7.62223664e-04 7.75218357e-04
 5.80180611e-04 6.60879183e-04 4.89227399e-04 4.92831486e-04
 4.49384918e-04 4.27518673e-04 3.11433051e-04 2.57276405e-04
 2.54406691e-04 2.17331499e-04 2.18832528e-04 1.85053393e-04
 1.63777292e-04 1.25277708e-04 1.44083660e-04 1.02661693e-04
 1.07745602e-04 8.30137679e-05 9.91408332e-05 7.03811622e-05
 6.45813704e-05 5.80181008e-05 4.15188198e-05 3.61395798e-05
 2.57377498e-05 2.63962290e-05 2.31031748e-05 5.32136050e-06
 6.24675953e-06 8.39937608e-06 2.73574678e-06 4.55640736e-06]","[1.96256366e+00 2.12606882e-01 7.30956473e-03 1.95319126e-04
 4.83589073e-04 1.96949283e-03 2.66000390e-04 6.74112905e-04
 1.04609331e-03 3.76252693e-04 2.03450941e-04 1.55499116e-03
 5.57054714e-04 5.45854543e-04 2.69410314e-04 2.29824679e-04
 2.58285118e-04 2.00011849e-04 2.71281776e-04 2.41399757e-04
 4.69545000e-04 4.50500916e-04 5.09170618e-04 3.32698176e-04
 2.38303627e-04 2.86929787e-04 3.31026990e-04 3.59906066e-04
 3.49743095e-04 3.65783257e-04 6.82434015e-04 3.28722994e-04
 5.73231024e-04 3.47680407e-04 8.83732152e-04 5.37235493e-04
 6.33237133e-04 3.71574640e-04 3.18900924e-04 2.95090495e-04
 2.54379608e-04 1.75242532e-04 1.96892143e-04 2.18818829e-04
 1.79291713e-04 1.05084640e-04 2.01911165e-04 1.53163810e-04
 1.01870927e-04 1.52122446e-04 1.51671772e-04 2.28411155e-04
 1.09418215e-04 1.97489292e-04 2.07419337e-04 1.25086671e-04
 2.19013555e-04 1.24229126e-04 1.24614571e-04 9.89512235e-05
 1.20143312e-04 1.16087036e-04 1.41172088e-04 1.26136412e-04
 1.11242477e-04 1.12212555e-04 1.00789752e-04 1.05535260e-04
 1.02117192e-04 7.94897709e-05 8.89772346e-05 1.04358853e-04
 1.18015739e-04 1.18695265e-04 1.47079125e-04 8.68512354e-05
 1.23340612e-04 1.04706286e-04 1.28606197e-04 1.03986815e-04
 9.44577017e-05 1.12920930e-04 1.13614115e-04 1.08583830e-04
 8.66295710e-05 1.09370842e-04 1.13951730e-04 9.45738734e-05
 9.89791013e-05 1.06818303e-04 5.40610363e-05 7.00513181e-05
 7.48552499e-05 7.07968015e-05 4.84862372e-05 4.18443819e-05
 2.24262913e-05 3.95539277e-05 2.97939704e-05 4.07879627e-05]",247679096.97929296,0,0,0.47967494589348325
